fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option
2515546493837534633,Organic Search,966564,Taiwan,(not set),,,1567,82,17,20170721,1500643403,PAGE,,,0,,9180781,Suitcase Organizer Cubes,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
9361741997835388618,Organic Search,157377,France,not available in demo dataset,,,321,8,,20170413,1492114470,PAGE,,,0,,9180793,26 oz Double Wall Insulated Bottle,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
7313828956068851679,Referral,228279,United States,San Francisco,,,927,11,63,20170727,1501198444,PAGE,,,0,,9180838,Metal Texture Roller Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
6036794406403793540,Organic Search,1615618,United States,Boulder,,,1616,13,38,20170731,1501522359,PAGE,,,0,,9180838,Metal Texture Roller Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
7847280609739507227,Organic Search,37832,Canada,not available in demo dataset,,,1222,45,53,20170728,1501300311,PAGE,,,0,,9180838,Metal Texture Roller Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
1371078687799372953,Referral,478901,United States,Ann Arbor,67570000,1,1569,48,87,20170726,1501111386,PAGE,,,0,,9180838,Metal Texture Roller Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
8781227467221587011,Referral,119567,United States,Mountain View,24710000,1,1007,35,71,20170727,1501203918,PAGE,,,0,,9180838,Metal Texture Roller Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
7328657227470299189,Organic Search,1115991,India,not available in demo dataset,,,3326,41,,20170305,1488700723,PAGE,,,0,,9180842,Maze Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
0603507101721972238,Referral,63158,United States,not available in demo dataset,,,372,20,,20170323,1490286223,PAGE,,,0,,9180844,Gunmetal Roller Ball Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
2410100047658323318,Direct,487916,New Zealand,not available in demo dataset,,,488,6,,20170306,1488836135,PAGE,,,0,,9180844,Gunmetal Roller Ball Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
7328657227470299189,Organic Search,1115991,India,not available in demo dataset,,,3326,41,,20170305,1488700723,PAGE,,,0,,9180844,Gunmetal Roller Ball Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
6359403243542167475,Organic Search,161016,United States,not available in demo dataset,,,404,24,,20170215,1487203514,PAGE,,,0,,9181019,Google Tri-blend Hoodie Grey,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
4563918079034331605,Organic Search,1165111,Italy,not available in demo dataset,,,1266,27,,20170215,1487175528,PAGE,,,0,,9181019,Google Tri-blend Hoodie Grey,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
3502451034522748027,Organic Search,260638,United States,not available in demo dataset,,,377,12,,20170125,1485392662,PAGE,,,0,,9181573,Google Snapback Hat Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
6254574407334719565,Organic Search,59946,Denmark,not available in demo dataset,,,343,15,,20170126,1485481041,PAGE,,,0,,9181573,Google Snapback Hat Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
1419842828452102862,Organic Search,766951,United States,Mountain View,,,1792,72,62,20170801,1501605330,PAGE,,,0,,9181573,Google Snapback Hat Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
9893914155363716533,Referral,205156,United States,Los Angeles,,,426,20,85,20170801,1501621677,PAGE,,,0,,9181573,Google Snapback Hat Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
8401606893927168081,Organic Search,563230,United States,not available in demo dataset,,,992,23,,20170403,1491256189,PAGE,,,0,,9181664,Waterproof Gear Bag,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
997271511212133268,Referral,180572,United States,Mountain View,,,743,19,,20170404,1491347644,PAGE,,,0,,9181664,Waterproof Gear Bag,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
7932128536242606019,Organic Search,952790,United States,not available in demo dataset,,,1763,36,,20170424,1493057283,PAGE,,,0,,9181664,Waterproof Gear Bag,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,
